"batch_code","item_code","provincia","sector","fecha","proveedor","descripcion","categoria","monto","metodo_pago","notas_originales"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-03-07","N/A","Material de relleno","MATERIALES","20748.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-03-13","N/A","CEMENTO","MATERIALES","255000.0","CASH","UD"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-03-17","N/A","Arena lavada gruesa","MATERIALES","28320.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-03-17","N/A","Grava 1/2"" @ 3/4""","MATERIALES","17700.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-03-17","N/A","Transporte Arena lavada gruesa","SERVICIO","5000.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-03-17","N/A","Transporte Grava 1/2"" @ 3/4""","SERVICIO","5000.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-03-18","N/A","CAJA CHICA 8","CAJA CHICA","15000.0","CASH","PA"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-03-21","N/A","Arena lavada gruesa","MATERIALES","56640.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-03-21","N/A","Grava 1/2"" @ 3/4""","MATERIALES","17700.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-03-21","N/A","Transporte Arena lavada gruesa","SERVICIO","10000.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-03-21","N/A","Transporte Grava 1/2"" @ 3/4""","SERVICIO","5000.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-03-23","N/A","CEMENTO","MATERIALES","254000.0","CASH","UD"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-03-26","N/A","Arena lavada gruesa","MATERIALES","56640.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-03-26","N/A","Grava 1/2"" @ 3/4""","MATERIALES","17700.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-03-26","N/A","Transporte Arena lavada gruesa","SERVICIO","10000.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-03-26","N/A","Transporte Grava 1/2"" @ 3/4""","SERVICIO","5000.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-03-28","N/A","NOMINA 28-03-2026","MANO DE OBRA","928100.44","CASH","PA"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-03-28","N/A","CAJA CHICA 1 + 3000 GASOIL CAMION","CAJA CHICA","0","CASH",""
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-03-30","N/A","SUMINISTRO PIEDRAS RUBEN","SERVICIO","45000.0","CASH","VIAJES"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-04-15","N/A","NOMINA 15-04-2026","MANO DE OBRA","185444.0","CASH","PA"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-04-28","N/A","CEMENTO","MATERIALES","252500.0","CASH","UD"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-04-30","N/A","Arena lavada gruesa","MATERIALES","56640.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-04-30","N/A","Grava 1/2"" @ 3/4""","MATERIALES","17700.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-04-30","N/A","Transporte Arena lavada gruesa","SERVICIO","10000.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-04-30","N/A","Transporte Grava 1/2"" @ 3/4""","SERVICIO","5000.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-05-01","N/A","AVANCE CACU 30-04-2026","MANO DE OBRA","50000.0","CASH","PA"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-05-06","N/A","Arena lavada gruesa","MATERIALES","56640.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-05-06","N/A","Grava 1/2"" @ 3/4""","MATERIALES","17700.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-05-06","N/A","Transporte Arena lavada gruesa","SERVICIO","10000.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-05-06","N/A","Transporte Grava 1/2"" @ 3/4""","SERVICIO","5000.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-05-06","N/A","CEMENTO","MATERIALES","252000.0","CASH","UD"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-05-08","N/A","Material de relleno","MATERIALES","20748.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-05-08","N/A","CAJA CHICA 2 + 3000 GASOIL CAMION","CAJA CHICA","18000.0","CASH","PA"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-05-14","N/A","Arena lavada gruesa","MATERIALES","56640.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-05-14","N/A","Transporte Arena lavada gruesa","SERVICIO","10000.0","CASH","M3"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-05-15","N/A","SUMINISTRO PIEDRAS RUBEN","SERVICIO","32000.0","CASH","VIAJES"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-05-15","N/A","NOMINA 15-05-2026","MANO DE OBRA","505160.05","CASH","PA"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-05-20","N/A","CEMENTO","MATERIALES","252000.0","CASH","UD"
"MOPC-CCC-LPN-2021-0036","ITEM-12","La Altagracia","La Herradura","2026-05-22","N/A","Arena lavada gruesa","MATERIALES","56640.0","CASH","M3"
